gene,M,Sp,R,S,n_cells,n_guides
TXNDC17,16.902482986450195,0.15017271041870117,0.4831734931787078,0.4944608211517334,215,3
TYR,12.002883911132812,0.10431492328643799,0.3977170548571509,0.0554598793387413,265,3
UBC,19.57086753845215,0.16740849614143372,0.46528868357907766,0.005654571577906609,95,2
UCN2,14.674699783325195,0.12336495518684387,0.3507556673629983,0.3383848965167999,193,3
UQCRFS1,18.466552734375,0.16091574728488922,0.34253081950506864,0.2952246069908142,111,3
UQCRH,22.405553817749023,0.1864555925130844,0.3086307093384522,0.3530969023704529,77,3
VAT1,15.882731437683105,0.13864244520664215,0.40612750718374885,0.05421372875571251,154,3
VDAC2,13.574886322021484,0.1167314201593399,0.3564522164955701,0.31316426396369934,223,3
WBP2,12.72414493560791,0.11029109358787537,0.3927095879953458,0.20563659071922302,255,3
WNT7A,12.033195495605469,0.1054820865392685,0.3718040455180774,0.012380746193230152,267,3
XAGE1A,15.820493698120117,0.13430199027061462,0.32898351592575686,0.3686728775501251,160,3
