gene,magnitude,S,R,target_baseMean,n_cells_target,detectable,C
TLR10,4.235079765319824,0.007670579478144646,-0.02750786766409874,0.0032038316130638123,123,False,
IKBKB,6.047959327697754,0.016833003610372543,-0.033989980816841125,0.2898814380168915,65,True,0.08877721943048576
XPR1,4.682389259338379,0.04480551555752754,0.07527106255292892,0.11375606805086136,91,False,
HLA-B,4.334756374359131,0.013956939801573753,-0.03968255966901779,2.608044147491455,114,False,
CASP4,5.784052848815918,0.04824725165963173,0.1218365803360939,0.8118113279342651,77,True,0.5443886097152428
SLITRK5,4.246023654937744,0.047622982412576675,-0.04034886136651039,0.09342964738607407,93,False,
CTPS1,3.7640044689178467,0.04085157439112663,-0.07372692972421646,0.5466228127479553,113,False,
NFKB2,5.17812442779541,0.07132892310619354,0.17404811084270477,0.6237740516662598,92,True,0.745393634840871
ALG2,4.127840995788574,0.0335121788084507,0.002738603390753269,0.14809748530387878,114,False,
KMT2D,4.553725242614746,0.027089988812804222,0.15133515000343323,0.059480588883161545,123,False,
PSMB9,5.402496337890625,0.06862735748291016,-0.05968736857175827,1.162074327468872,81,True,0.30150753768844224
OTULIN,5.177602767944336,0.058553602546453476,0.12906664609909058,0.564570963382721,78,True,0.6541038525963149
KAT5,5.652098178863525,0.09666239470243454,0.14655447006225586,0.134438619017601,72,True,0.7420435510887773
MED30,5.94041109085083,0.07532375305891037,0.07965880632400513,0.07870763540267944,75,True,0.6005025125628141
MAP2K4,4.002103328704834,0.033692099153995514,-0.05749180540442467,0.10385865718126297,108,False,
TMEM70,4.429915428161621,0.09850464016199112,-0.025469040498137474,0.31687915325164795,109,False,
NFYC,4.550339698791504,0.01554427482187748,0.029726127162575722,1.6536985635757446,87,False,
TBX1,4.268123626708984,0.013102180324494839,-0.05015203356742859,0.062432803213596344,106,False,
HLA-H,5.165099620819092,0.08757144957780838,0.016243215650320053,,73,True,0.5460636515912898
UBE2L3,7.792828559875488,0.03928067162632942,0.16170074045658112,0.7982636094093323,38,True,0.516750418760469
CEBPB,5.31752347946167,0.14872047305107117,0.07237851619720459,0.7992792725563049,87,True,0.7897822445561139
ZNF384,4.186274528503418,0.10727132111787796,0.09681107103824615,0.026983195915818214,109,False,
IER3,3.7544093132019043,0.04832911118865013,-0.1298622339963913,1.4377714395523071,125,False,
DSG1,5.55863618850708,0.014121264219284058,-0.13392654061317444,,85,True,0.041876046901172526
ADCY4,4.026858806610107,0.0410466305911541,0.0574001744389534,0.004999243654310703,115,False,
ZMIZ1,4.989077568054199,0.04593638703227043,-0.008027997799217701,0.29374995827674866,67,True,0.3358458961474037
TTLL7,4.211897850036621,0.09140510112047195,0.02582015097141266,0.015336561016738415,121,False,
IRF3,3.9047303199768066,0.002369905123487115,-0.021486056968569756,0.4094585180282593,107,False,
NLRC5,4.513400554656982,0.007203863002359867,0.0222306028008461,0.34339141845703125,113,False,
MED20,5.640848636627197,0.08426910638809204,0.05849943310022354,0.06386655569076538,68,True,0.5896147403685092
ITGB2-AS1,4.401353359222412,0.00898874830454588,-0.045919790863990784,0.1867140382528305,86,False,
TBK1,4.191458702087402,0.12131919711828232,0.045595474541187286,0.22599969804286957,109,False,
SLC26A4,4.465965270996094,0.048200853168964386,-0.0130310682579875,0.004722209181636572,86,False,
COMMD7,4.139981269836426,0.01594611443579197,0.06174915283918381,0.3007154166698456,114,False,
LST1,4.741912841796875,0.04096630960702896,-0.08704677224159241,0.610933244228363,76,True,0.23450586264656617
TUBA1C,5.888852119445801,0.01902817375957966,0.037278395146131516,0.5943644046783447,80,True,0.2830820770519263
PABPC1,4.269394874572754,0.00305338972248137,0.027788128703832626,1.810355544090271,99,False,
