gene,ISCI_core,p_value,q_value
MCTS1,0.9757650740880901,0.007992007992007992,0.9681849681849682
KMT2C,0.9750153486572382,0.002997002997002997,0.9463960696837409
NFRKB,0.9748308099465838,0.004995004995004995,0.9463960696837409
FOXN2,0.9746202204341596,0.005994005994005994,0.9463960696837409
SNRPB2,0.9745028471804721,0.003996003996003996,0.9463960696837409
PARL,0.9735410330562319,0.01098901098901099,0.9681849681849682
SUPT20H,0.973083196555414,0.003996003996003996,0.9463960696837409
ARPC1B,0.9729106834299385,0.005994005994005994,0.9463960696837409
BTAF1,0.9728854923376365,0.005994005994005994,0.9463960696837409
DOCK2,0.9727316871392788,0.01098901098901099,0.9681849681849682
MED15,0.9726088061338809,0.007992007992007992,0.9681849681849682
CREB1,0.9725675349766206,0.007992007992007992,0.9681849681849682
ITGB2,0.972521677728596,0.004995004995004995,0.9463960696837409
TIPRL,0.9725050302728107,0.005994005994005994,0.9463960696837409
GATA3,0.972196015902245,0.01098901098901099,0.9681849681849682
WAS,0.97188677260197,0.007992007992007992,0.9681849681849682
GRSF1,0.9718573809238574,0.002997002997002997,0.9463960696837409
ZNF644,0.9715855842537348,0.006993006993006993,0.9595404595404595
ELAVL1,0.9714077156270281,0.00999000999000999,0.9681849681849682
ARNT,0.9713627698508012,0.005994005994005994,0.9463960696837409
DR1,0.9713581503139862,0.008991008991008992,0.9681849681849682
HNRNPA2B1,0.9712232101719623,0.00999000999000999,0.9681849681849682
WDR82,0.9706465166016239,0.005994005994005994,0.9463960696837409
AHSA1,0.9705566655963533,0.005994005994005994,0.9463960696837409
OS9,0.9704783206945632,0.005994005994005994,0.9463960696837409
CSDE1,0.9703508443599397,0.00999000999000999,0.9681849681849682
NDUFS2,0.970062127605451,0.006993006993006993,0.9595404595404595
LRPPRC,0.9696967950445957,0.006993006993006993,0.9595404595404595
ZNF384,0.969558612151941,0.006993006993006993,0.9595404595404595
CHIC2,0.969415441120688,0.003996003996003996,0.9463960696837409
FAM98B,0.969194471218756,0.004995004995004995,0.9463960696837409
TFAM,0.9691131593217039,0.005994005994005994,0.9463960696837409
RC3H1,0.9688423260545286,0.007992007992007992,0.9681849681849682
DENR,0.9685622157075172,0.007992007992007992,0.9681849681849682
SP1,0.9685587530043511,0.005994005994005994,0.9463960696837409
TMEM126B,0.9680775798984779,0.01098901098901099,0.9681849681849682
TIAL1,0.9680559449157258,0.012987012987012988,0.9681849681849682
CD28,0.9674977769947648,0.005994005994005994,0.9463960696837409
UBE2D3,0.9674889726976343,0.008991008991008992,0.9681849681849682
ECHS1,0.9674571067822874,0.00999000999000999,0.9681849681849682
TAF13,0.9670264645512494,0.01098901098901099,0.9681849681849682
MED24,0.9669018004303025,0.013986013986013986,0.9681849681849682
PRR12,0.966623824706439,0.004995004995004995,0.9463960696837409
OST4,0.9665382716746442,0.011988011988011988,0.9681849681849682
ELOB,0.966507043930798,0.011988011988011988,0.9681849681849682
ITGAL,0.9661957777530951,0.00999000999000999,0.9681849681849682
SND1,0.9654466465554964,0.01098901098901099,0.9681849681849682
PHF3,0.9649889706040002,0.011988011988011988,0.9681849681849682
GPI,0.9646426651829971,0.008991008991008992,0.9681849681849682
NDUFAF3,0.964619936502171,0.00999000999000999,0.9681849681849682
PAGR1,0.9645817165665785,0.006993006993006993,0.9595404595404595
BHLHE40,0.9645643651975622,0.014985014985014986,0.9681849681849682
ACLY,0.964418636288796,0.01098901098901099,0.9681849681849682
THRAP3,0.9643475593987686,0.003996003996003996,0.9463960696837409
VBP1,0.9641950262629193,0.014985014985014986,0.9681849681849682
SAP30,0.9636568941932256,0.007992007992007992,0.9681849681849682
ADNP2,0.9635682604077447,0.005994005994005994,0.9463960696837409
TMEM263,0.9634573903350603,0.008991008991008992,0.9681849681849682
TET2,0.9633994794978806,0.008991008991008992,0.9681849681849682
TM9SF3,0.9631283160220624,0.00999000999000999,0.9681849681849682
SIN3B,0.9624537564804205,0.006993006993006993,0.9595404595404595
EMC4,0.9624163495817195,0.008991008991008992,0.9681849681849682
TADA2B,0.9619760882194041,0.007992007992007992,0.9681849681849682
RALGAPB,0.9617521085828256,0.004995004995004995,0.9463960696837409
PDCD10,0.9614832629673192,0.013986013986013986,0.9681849681849682
ITGB7,0.9613589542474479,0.012987012987012988,0.9681849681849682
ANXA6,0.9607244096861863,0.012987012987012988,0.9681849681849682
STAT3,0.960541384936406,0.00999000999000999,0.9681849681849682
MSL2,0.9605136994186266,0.00999000999000999,0.9681849681849682
TBL1XR1,0.9604797280900321,0.01098901098901099,0.9681849681849682
TMED4,0.9604550649021223,0.017982017982017984,0.9681849681849682
STIP1,0.9603296541627314,0.006993006993006993,0.9595404595404595
RCOR1,0.9602286904357079,0.013986013986013986,0.9681849681849682
STAT6,0.9601034697830997,0.008991008991008992,0.9681849681849682
RBPJ,0.9600438461211905,0.013986013986013986,0.9681849681849682
PRKCH,0.9600231029958562,0.013986013986013986,0.9681849681849682
